,,,
,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 시작,5분의 예우,회의 시작 5분 전에 도착해 자료와 장비를 미리 점검하기,"""당신의 정시 도착은 참여하는 모든 이의 시간을 존중한다는 약속입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),안건 공유,아젠다의 친절,"회의 전, 논의할 내용을 미리 공유하여 참석자들이 생각할 시간을 주기","""준비된 아젠다는 회의의 길을 밝히는 가장 효율적인 지도입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),의견 경청,마침표의 존중,동료의 말이 끝날 때까지 끊지 않고 끝까지 듣고 난 후 내 의견 말하기,"""끝까지 들어주는 인내심이 상대의 마음을 여는 가장 강력한 도구입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 기록,기록의 공유,결정된 사항(Action Item)을 정리해 회의 직후 팀원들과 투명하게 공유하기,"""명확한 기록은 오해를 신뢰로 바꾸는 가장 든든한 다리가 됩니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),공로 나누기,이름의 가치,성과 보고 시 도움을 준 동료나 팀원의 이름을 구체적으로 언급하기,"""내 노력이 누군가에게 기억될 때, 업무는 자부심이 됩니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 집중,노트북의 예절,회의와 관련 없는 업무나 메신저 사용을 자제하고 발언자에게 집중하기,"""당신의 집중하는 눈빛이 회의실의 열기를 뜨겁게 만듭니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),피드백,대안 있는 비판,타인의 의견에 반대할 때는 감정적인 비난보다 구체적인 대안 제시하기,"""비판에 대안을 더하는 당신의 태도가 프로젝트를 한 단계 성장시킵니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),업무 요청,기한의 명시,"업무를 부탁할 때 ""가능한 한 빨리"" 대신 ""내일 오후 2시까지""로 명확히 하기","""정확한 기한 설정이 상대방의 업무 우선순위를 지켜주는 배려입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),진척 공유,미리 알림,마감 기한을 지키기 어려울 것 같다면 최대한 빨리 상황을 공유하고 조율하기,"""빠른 공유는 실패를 방지하는 가장 똑똑한 방어 기제입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),도움 요청,정중한 질문,"모르는 것이 생기면 혼자 끙끙 앓지 말고, 상대의 시간을 배려해 정중히 묻기","""도움을 요청하는 용기가 팀 전체의 리소스를 아끼는 지혜가 됩니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 진행,발언권의 안배,회의 중 소외된 팀원이 있다면 질문을 던져 의견을 낼 기회 만들어주기,"""모두의 목소리를 듣고자 하는 당신의 배려가 팀의 창의성을 깨웁니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),결정 사항,합의의 존중,회의에서 결정된 사항은 내 의견과 다르더라도 최선을 다해 따르기,"""치열하게 토론하고 결정에 승복하는 당신은 진정한 팀플레이어입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),툴 활용,상태값 업데이트,Jira나 협업 툴의 티켓 상태를 실시간으로 업데이트하여 진행 상황 알리기,"""당신의 작은 마우스 클릭 한 번이 팀원들의 불필요한 확인 과정을 덜어줍니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 종료,정돈의 마무리,사용한 회의실 의자를 넣고 화이트보드를 지우는 등 다음 팀을 위해 정돈하기,"""머물다 간 자리에서 당신의 깔끔한 업무 처리 능력이 엿보입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),중복 방지,히스토리 파악,"새로운 질문 전, 기존 문서나 회의록을 먼저 찾아보는 성의 보이기","""과거를 먼저 살피는 당신의 성실함이 팀의 반복적인 수고를 막아줍니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),아이디어,긍정의 리액션,"동료의 제안에 ""그건 안 돼요""보다 ""좋네요, 그런데 이런 점을 보완하면 어떨까요?"" 하기","""긍정적인 리액션은 팀의 아이디어가 마르지 않게 돕는 영양제입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),협업 태도,장벽 없는 소통,내 담당 업무가 아니더라도 팀의 목표를 위해 기꺼이 도움의 손길 내밀기,"""선을 긋지 않는 당신의 열정이 팀을 진정한 원팀(One Team)으로 만듭니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),사후 보고,결과의 공유,"내가 요청했던 업무가 완료된 후, 그것이 어떻게 활용되었는지 피드백 주기","""결과를 공유하는 당신의 센스가 도움을 준 이에게 큰 보람을 선물합니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),회의 시간,타임키퍼의 배려,정해진 회의 시간을 넘기지 않도록 논의를 효율적으로 이끌기,"""시간을 지키는 단호함이 팀원들의 다음 일정을 지켜주는 친절입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),모호함 제거,확인의 습관,"회의 끝에 ""그럼 제가 A를 내일까지 하면 되는 거죠?""라고 다시 한번 확인하기","""마지막 확인 한마디가 나중에 생길 커다란 오해를 막는 열쇠가 됩니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),장비 관리,공유 자산 아끼기,회사 공용 노트북이나 빔프로젝터를 내 물건처럼 조심히 다루기,"""공용 물건을 아끼는 마음에서 회사를 아끼는 주인의식이 드러납니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),갈등 관리,감정 분리의 매너,업무적 이견이 감정적인 싸움으로 번지지 않도록 논리에 집중하기,"""비즈니스 매너는 감정의 소용돌이 속에서도 차가운 이성을 유지하는 힘입니다.""",,
,회의와 협업의 온도 (회의 및 프로젝트 매너),참석 여부,빠른 회신,회의 초대 메일에 참석 여부를 즉시 회신하여 주최자의 계획 돕기,"""당신의 빠른 회신이 회의의 준비성을 결정짓는 첫 단추입니다.""",,
